,Country,Total_Flights
1,Spain,4970060
2,Germany,4514650
3,France,4476872
4,United Kingdom,4336734
5,Italy,2789856
6,Turkey,2615305
7,Norway,1960172
8,Netherlands,1315324
9,Greece,1241946
10,Portugal,1043491
11,Poland,1010151
12,Switzerland,1009244
13,Belgium,823430
14,Austria,786855
15,Sweden,713531
16,Ireland,628176
17,Denmark,544641
18,Morocco,419601
19,Finland,390975
20,Israel,343988
21,Czech Republic,336320
22,Romania,302997
23,Hungary,260334
24,Ukraine,243823
25,Luxembourg,190312
26,Cyprus,186984
27,Latvia,183234
28,Serbia,175923
29,Bulgaria,154933
30,Lithuania,149660
31,Malta,131663
32,Croatia,112912
33,Estonia,103216
34,Albania,82857
35,Georgia,78533
36,Slovenia,69979
37,Armenia,64163
38,Moldova,58768
39,Slovakia,48021
40,Republic of North Macedonia,45840
41,Bosnia and Herzegovina,33950
42,Montenegro,32617
