"","Year","Month","Total_Flights"
"1",2019,"01",1225124
"2",2019,"02",1151456
"3",2019,"03",1317196
"4",2019,"04",1416839
"5",2019,"05",1539048
"6",2019,"06",1597854
"7",2019,"07",1675015
"8",2019,"08",1651370
"9",2019,"09",1600209
"10",2019,"10",1527809
"11",2019,"11",1247278
"12",2019,"12",1236713
"13",2020,"01",1214726
"14",2020,"02",1161305
"15",2020,"03",761867
"16",2020,"04",141513
"17",2020,"05",176459
"18",2020,"06",292016
"19",2020,"07",639222
"20",2020,"08",795041
"21",2020,"09",706624
"22",2020,"10",632611
"23",2020,"11",433805
"24",2020,"12",461827
"25",2021,"01",409089
"26",2021,"02",344633
"27",2021,"03",422135
"28",2021,"04",455807
"29",2021,"05",539295
"30",2021,"06",757598
"31",2021,"07",1067919
"32",2021,"08",1150868
"33",2021,"09",1103275
"34",2021,"10",1099985
"35",2021,"11",949269
"36",2021,"12",952720
"37",2022,"01",812842
"38",2022,"02",795954
"39",2022,"03",1003259
"40",2022,"04",1176128
"41",2022,"05",1338338
